travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
Business,"[{'w': 0, 'dim': [43, 27, 30]}]","[{'w': 27, 'dim': [82, 44, 50]}]","[{'w': 5, 'dim': [87, 53, 36]}, {'w': 0, 'dim': [94, 51, 38]}, {'w': 0, 'dim': [97, 71, 35]}, {'w': 0, 'dim': [65, 71, 50]}]",child,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 13, 'dim': [47, 30, 22]}]","[{'w': 0, 'dim': [63, 31, 47]}, {'w': 0, 'dim': [89, 46, 28]}]","[{'w': 3, 'dim': [71, 58, 29]}, {'w': 31, 'dim': [51, 38, 49]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [47, 27, 17]}, {'w': 0, 'dim': [27, 24, 19]}]",[],[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 4, 'dim': [20, 23, 18]}]","[{'w': 2, 'dim': [77, 44, 27]}]","[{'w': 42, 'dim': [55, 53, 35]}, {'w': 33, 'dim': [53, 77, 22]}, {'w': 32, 'dim': [84, 48, 26]}]",adult,False,Item with weight 42kg or size 143cm must be shipped as cargo.,75
First,"[{'w': 4, 'dim': [41, 37, 18]}, {'w': 3, 'dim': [42, 29, 17]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 0, 'dim': [66, 40, 21]}, {'w': 0, 'dim': [69, 66, 35]}]","[{'w': 0, 'dim': [64, 57, 34]}, {'w': 0, 'dim': [92, 77, 23]}]",adult,True,Checked luggage complies with the policy.,100
First,[],"[{'w': 52, 'dim': [74, 32, 40]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 2, 'dim': [47, 28, 16]}]",[],[],child,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [43, 27, 30]}, {'w': 0, 'dim': [35, 35, 21]}]","[{'w': 0, 'dim': [63, 30, 25]}]",[],infant,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 2, 'dim': [32, 29, 27]}, {'w': 3, 'dim': [36, 33, 22]}]","[{'w': 0, 'dim': [59, 67, 45]}, {'w': 0, 'dim': [72, 69, 24]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 12, 'dim': [29, 25, 16]}]","[{'w': 8, 'dim': [75, 64, 26]}, {'w': 0, 'dim': [88, 62, 36]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [33, 22, 29]}, {'w': 10, 'dim': [21, 32, 14]}]",[],"[{'w': 23, 'dim': [92, 69, 44]}, {'w': 2, 'dim': [96, 80, 50]}]",adult,False,Carry-on bag exceeds size limits.,0
First,[],"[{'w': 60, 'dim': [63, 52, 48]}]","[{'w': 10, 'dim': [50, 77, 41]}, {'w': 13, 'dim': [94, 48, 47]}]",adult,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 29, 'dim': [50, 69, 43]}]","[{'w': 15, 'dim': [55, 56, 47]}]",child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 16, 'dim': [34, 21, 25]}]","[{'w': 8, 'dim': [75, 41, 25]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 4, 'dim': [26, 30, 29]}]",[],"[{'w': 29, 'dim': [87, 71, 42]}, {'w': 35, 'dim': [55, 51, 26]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,[],[],"[{'w': 40, 'dim': [88, 61, 40]}, {'w': 14, 'dim': [93, 42, 30]}, {'w': 0, 'dim': [88, 35, 36]}]",adult,False,Item with weight 40kg or size 189cm must be shipped as cargo.,325
First,"[{'w': 0, 'dim': [25, 37, 21]}, {'w': 18, 'dim': [39, 38, 20]}]","[{'w': 17, 'dim': [51, 47, 20]}, {'w': 0, 'dim': [74, 32, 26]}]",[],child,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],"[{'w': 29, 'dim': [92, 71, 31]}, {'w': 0, 'dim': [53, 51, 25]}]",adult,True,Checked luggage complies with the policy.,325
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 3, 'dim': [48, 33, 20]}, {'w': 0, 'dim': [28, 35, 10]}]","[{'w': 12, 'dim': [53, 56, 31]}, {'w': 0, 'dim': [54, 40, 38]}]","[{'w': 2, 'dim': [52, 67, 48]}, {'w': 0, 'dim': [69, 63, 48]}, {'w': 14, 'dim': [88, 70, 28]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,[],"[{'w': 0, 'dim': [89, 36, 28]}]","[{'w': 4, 'dim': [90, 41, 49]}]",adult,True,Checked luggage complies with the policy.,100
Business,[],"[{'w': 0, 'dim': [72, 56, 33]}, {'w': 0, 'dim': [52, 60, 47]}]","[{'w': 41, 'dim': [79, 32, 41]}]",child,False,Item with weight 41kg or size 152cm must be shipped as cargo.,75
Business,[],"[{'w': 0, 'dim': [64, 32, 33]}, {'w': 0, 'dim': [60, 43, 34]}]","[{'w': 43, 'dim': [74, 59, 43]}]",child,False,Item with weight 43kg or size 176cm must be shipped as cargo.,175
Economy,"[{'w': 0, 'dim': [49, 39, 20]}]",[],[],child,True,Checked luggage complies with the policy.,0
Economy,[],"[{'w': 34, 'dim': [83, 64, 24]}]","[{'w': 3, 'dim': [88, 52, 32]}, {'w': 9, 'dim': [92, 78, 23]}, {'w': 0, 'dim': [88, 61, 21]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 16, 'dim': [28, 27, 16]}, {'w': 0, 'dim': [25, 22, 23]}]","[{'w': 39, 'dim': [87, 39, 31]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 3, 'dim': [20, 23, 11]}]",[],"[{'w': 14, 'dim': [55, 66, 37]}]",adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 11, 'dim': [47, 32, 20]}]","[{'w': 0, 'dim': [77, 57, 35]}]","[{'w': 18, 'dim': [82, 60, 22]}, {'w': 3, 'dim': [53, 80, 27]}, {'w': 17, 'dim': [88, 47, 34]}]",child,True,Checked luggage complies with the policy.,600
Economy,"[{'w': 9, 'dim': [44, 38, 27]}, {'w': 10, 'dim': [26, 20, 13]}]",[],"[{'w': 3, 'dim': [52, 66, 25]}, {'w': 0, 'dim': [56, 66, 23]}]",child,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 0, 'dim': [63, 48, 24]}, {'w': 44, 'dim': [64, 58, 33]}]","[{'w': 15, 'dim': [68, 52, 48]}, {'w': 3, 'dim': [53, 77, 44]}, {'w': 42, 'dim': [63, 57, 25]}]",infant,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [31, 37, 24]}, {'w': 2, 'dim': [48, 31, 30]}]","[{'w': 0, 'dim': [84, 30, 40]}, {'w': 0, 'dim': [88, 40, 31]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [44, 31, 24]}, {'w': 0, 'dim': [43, 24, 19]}]",[],[],child,False,Carry-on bag exceeds size limits.,0
First,[],"[{'w': 53, 'dim': [59, 32, 29]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 21, 'dim': [48, 22, 16]}]","[{'w': 46, 'dim': [64, 43, 24]}, {'w': 0, 'dim': [87, 64, 45]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [29, 31, 17]}]","[{'w': 0, 'dim': [83, 38, 20]}]","[{'w': 1, 'dim': [72, 69, 47]}]",adult,True,Checked luggage complies with the policy.,100
Economy,[],[],[],child,True,Checked luggage complies with the policy.,0
First,"[{'w': 11, 'dim': [38, 29, 11]}, {'w': 0, 'dim': [26, 25, 12]}]",[],"[{'w': 0, 'dim': [76, 64, 26]}]",adult,True,Checked luggage complies with the policy.,100
First,[],"[{'w': 76, 'dim': [51, 47, 30]}]","[{'w': 0, 'dim': [57, 36, 28]}, {'w': 56, 'dim': [95, 79, 26]}, {'w': 19, 'dim': [63, 80, 36]}]",child,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 0, 'dim': [54, 42, 31]}, {'w': 42, 'dim': [74, 30, 30]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 0, 'dim': [80, 55, 22]}]","[{'w': 38, 'dim': [82, 66, 34]}]",child,False,Item with weight 38kg or size 182cm must be shipped as cargo.,175
Economy,[],"[{'w': 29, 'dim': [84, 66, 30]}, {'w': 36, 'dim': [74, 55, 45]}]",[],infant,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 0, 'dim': [66, 36, 31]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 6, 'dim': [38, 39, 10]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [31, 34, 15]}]","[{'w': 5, 'dim': [60, 45, 28]}, {'w': 0, 'dim': [74, 63, 34]}]","[{'w': 3, 'dim': [85, 74, 43]}]",adult,True,Checked luggage complies with the policy.,100
Economy,"[{'w': 1, 'dim': [47, 25, 29]}, {'w': 3, 'dim': [29, 22, 15]}]","[{'w': 1, 'dim': [71, 50, 39]}, {'w': 5, 'dim': [60, 41, 28]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,[],"[{'w': 20, 'dim': [61, 56, 32]}]","[{'w': 0, 'dim': [57, 71, 34]}, {'w': 8, 'dim': [68, 77, 48]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 59, 'dim': [87, 42, 43]}, {'w': 99, 'dim': [86, 41, 36]}]","[{'w': 29, 'dim': [60, 73, 48]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 1, 'dim': [29, 24, 30]}]","[{'w': 11, 'dim': [50, 51, 27]}, {'w': 0, 'dim': [66, 48, 23]}]",[],adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 0, 'dim': [28, 37, 16]}, {'w': 6, 'dim': [48, 25, 11]}]",[],"[{'w': 48, 'dim': [66, 79, 30]}]",child,False,Item with weight 48kg or size 175cm must be shipped as cargo.,175
Economy,"[{'w': 14, 'dim': [21, 20, 30]}, {'w': 0, 'dim': [26, 21, 16]}]",[],"[{'w': 38, 'dim': [53, 49, 40]}, {'w': 25, 'dim': [80, 45, 49]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 0, 'dim': [40, 39, 30]}, {'w': 16, 'dim': [45, 34, 21]}]",[],"[{'w': 36, 'dim': [82, 46, 39]}]",adult,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 43, 'dim': [66, 50, 42]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [40, 23, 28]}]","[{'w': 0, 'dim': [61, 68, 27]}]",[],adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [40, 38, 24]}, {'w': 0, 'dim': [40, 27, 28]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 8, 'dim': [26, 30, 21]}]",[],"[{'w': 20, 'dim': [67, 36, 35]}]",child,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 13, 'dim': [86, 57, 45]}, {'w': 17, 'dim': [78, 62, 23]}]",[],child,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [42, 20, 22]}, {'w': 0, 'dim': [20, 30, 18]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 59, 'dim': [84, 59, 41]}, {'w': 29, 'dim': [75, 58, 48]}]",[],child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [48, 23, 19]}]",[],[],adult,True,Checked luggage complies with the policy.,0
First,[],"[{'w': 18, 'dim': [90, 44, 41]}]","[{'w': 19, 'dim': [80, 68, 21]}, {'w': 17, 'dim': [74, 55, 26]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 10, 'dim': [21, 33, 12]}, {'w': 8, 'dim': [38, 33, 20]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [48, 30, 19]}, {'w': 18, 'dim': [38, 34, 17]}]","[{'w': 0, 'dim': [78, 31, 50]}, {'w': 7, 'dim': [67, 52, 47]}]","[{'w': 37, 'dim': [57, 33, 42]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],"[{'w': 0, 'dim': [81, 49, 29]}, {'w': 0, 'dim': [76, 60, 43]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 1, 'dim': [30, 26, 10]}]",[],[],child,True,Checked luggage complies with the policy.,0
First,"[{'w': 0, 'dim': [37, 38, 29]}, {'w': 0, 'dim': [42, 29, 20]}]","[{'w': 23, 'dim': [83, 55, 30]}, {'w': 15, 'dim': [68, 43, 38]}]","[{'w': 14, 'dim': [69, 43, 44]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,"[{'w': 17, 'dim': [24, 26, 18]}, {'w': 1, 'dim': [27, 35, 18]}]",[],"[{'w': 0, 'dim': [91, 76, 28]}]",child,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 9, 'dim': [23, 33, 11]}]",[],"[{'w': 20, 'dim': [62, 77, 20]}]",adult,True,Checked luggage complies with the policy.,100
First,"[{'w': 6, 'dim': [37, 34, 15]}]",[],"[{'w': 35, 'dim': [93, 72, 50]}, {'w': 21, 'dim': [69, 70, 42]}, {'w': 0, 'dim': [74, 70, 40]}]",child,False,Item with weight 35kg or size 215cm must be shipped as cargo.,375
Business,"[{'w': 4, 'dim': [35, 35, 17]}, {'w': 8, 'dim': [27, 22, 20]}]",[],"[{'w': 3, 'dim': [98, 49, 35]}]",infant,True,Checked luggage complies with the policy.,100
Business,"[{'w': 20, 'dim': [33, 39, 28]}, {'w': 0, 'dim': [34, 40, 25]}]","[{'w': 0, 'dim': [62, 36, 44]}]","[{'w': 30, 'dim': [97, 55, 44]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],"[{'w': 12, 'dim': [65, 52, 48]}]",adult,True,Checked luggage complies with the policy.,100
Economy,"[{'w': 0, 'dim': [29, 35, 29]}, {'w': 0, 'dim': [46, 37, 29]}]","[{'w': 33, 'dim': [79, 33, 26]}]","[{'w': 0, 'dim': [63, 67, 21]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,"[{'w': 7, 'dim': [39, 29, 16]}, {'w': 0, 'dim': [27, 29, 17]}]","[{'w': 10, 'dim': [79, 43, 37]}, {'w': 0, 'dim': [73, 70, 28]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,"[{'w': 18, 'dim': [41, 21, 26]}]","[{'w': 0, 'dim': [71, 38, 33]}, {'w': 0, 'dim': [58, 30, 48]}]","[{'w': 30, 'dim': [100, 67, 23]}]",infant,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 1, 'dim': [29, 28, 15]}]","[{'w': 0, 'dim': [88, 46, 31]}]","[{'w': 0, 'dim': [58, 55, 24]}]",adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 4, 'dim': [42, 40, 30]}]",[],"[{'w': 0, 'dim': [75, 34, 39]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 0, 'dim': [24, 35, 27]}, {'w': 0, 'dim': [25, 29, 25]}]",[],"[{'w': 0, 'dim': [59, 52, 44]}]",child,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 9, 'dim': [31, 30, 12]}]","[{'w': 19, 'dim': [62, 51, 26]}]","[{'w': 2, 'dim': [64, 33, 21]}, {'w': 6, 'dim': [99, 49, 45]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 6, 'dim': [42, 25, 21]}, {'w': 0, 'dim': [42, 22, 13]}]","[{'w': 37, 'dim': [79, 47, 35]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 27, 'dim': [50, 44, 33]}]","[{'w': 0, 'dim': [61, 49, 43]}, {'w': 0, 'dim': [69, 68, 33]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [37, 26, 29]}, {'w': 0, 'dim': [32, 40, 22]}]",[],"[{'w': 27, 'dim': [67, 35, 20]}, {'w': 34, 'dim': [92, 69, 31]}, {'w': 3, 'dim': [76, 69, 36]}]",adult,False,Carry-on bag exceeds size limits.,0
Economy,[],"[{'w': 16, 'dim': [53, 43, 27]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 5, 'dim': [34, 37, 19]}, {'w': 2, 'dim': [41, 31, 11]}]","[{'w': 0, 'dim': [79, 40, 44]}, {'w': 0, 'dim': [55, 57, 37]}]",[],child,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 16, 'dim': [22, 30, 26]}]","[{'w': 0, 'dim': [71, 66, 34]}, {'w': 0, 'dim': [79, 40, 25]}]","[{'w': 0, 'dim': [59, 58, 21]}, {'w': 30, 'dim': [75, 53, 44]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,"[{'w': 0, 'dim': [45, 22, 14]}, {'w': 0, 'dim': [38, 23, 21]}]",[],"[{'w': 0, 'dim': [78, 56, 21]}]",adult,True,Checked luggage complies with the policy.,0
First,[],"[{'w': 0, 'dim': [78, 46, 32]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 35, 'dim': [56, 35, 32]}, {'w': 0, 'dim': [50, 33, 20]}]","[{'w': 8, 'dim': [63, 71, 47]}]",adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 53, 'dim': [59, 45, 36]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 23, 'dim': [30, 37, 10]}]","[{'w': 15, 'dim': [82, 49, 44]}, {'w': 0, 'dim': [66, 43, 42]}]","[{'w': 0, 'dim': [100, 55, 35]}]",infant,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [43, 40, 13]}, {'w': 0, 'dim': [34, 30, 28]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [31, 25, 20]}, {'w': 0, 'dim': [37, 20, 11]}]","[{'w': 22, 'dim': [81, 37, 32]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [31, 39, 25]}, {'w': 22, 'dim': [40, 22, 25]}]",[],"[{'w': 10, 'dim': [99, 56, 48]}, {'w': 0, 'dim': [71, 60, 47]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [46, 31, 26]}]","[{'w': 5, 'dim': [55, 63, 44]}]","[{'w': 18, 'dim': [67, 42, 28]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 2, 'dim': [47, 22, 17]}, {'w': 8, 'dim': [46, 27, 23]}]",[],"[{'w': 15, 'dim': [56, 65, 48]}, {'w': 38, 'dim': [70, 76, 32]}]",adult,False,Exceeded carry-on weight limit.,0
First,[],[],[],child,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [26, 23, 21]}, {'w': 12, 'dim': [23, 33, 30]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 9, 'dim': [26, 25, 16]}, {'w': 9, 'dim': [40, 33, 24]}]",[],"[{'w': 0, 'dim': [64, 60, 23]}]",infant,False,Exceeded carry-on weight limit.,0
First,"[{'w': 17, 'dim': [44, 34, 12]}]",[],"[{'w': 46, 'dim': [58, 52, 34]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [45, 37, 17]}]","[{'w': 22, 'dim': [82, 40, 23]}, {'w': 0, 'dim': [58, 40, 42]}]","[{'w': 7, 'dim': [93, 37, 28]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 5, 'dim': [22, 32, 25]}, {'w': 0, 'dim': [28, 25, 19]}]",[],"[{'w': 45, 'dim': [94, 65, 21]}, {'w': 39, 'dim': [52, 77, 22]}, {'w': 20, 'dim': [79, 79, 43]}]",adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 11, 'dim': [40, 21, 25]}]",[],"[{'w': 16, 'dim': [58, 32, 41]}, {'w': 0, 'dim': [53, 78, 43]}, {'w': 17, 'dim': [59, 54, 28]}]",child,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 0, 'dim': [54, 53, 38]}]",[],child,True,Checked luggage complies with the policy.,0
Business,[],[],"[{'w': 0, 'dim': [89, 31, 34]}]",adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 7, 'dim': [48, 35, 25]}, {'w': 6, 'dim': [36, 39, 25]}]","[{'w': 44, 'dim': [74, 69, 29]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,[],"[{'w': 0, 'dim': [63, 33, 23]}]","[{'w': 5, 'dim': [78, 67, 48]}, {'w': 18, 'dim': [86, 76, 48]}]",adult,False,Item with weight 18kg or size 210cm must be shipped as cargo.,100
Business,"[{'w': 9, 'dim': [36, 31, 20]}]","[{'w': 1, 'dim': [58, 64, 23]}]",[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 17, 'dim': [42, 21, 12]}]","[{'w': 30, 'dim': [67, 58, 49]}, {'w': 12, 'dim': [58, 34, 20]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 4, 'dim': [30, 39, 16]}]","[{'w': 0, 'dim': [54, 54, 36]}, {'w': 80, 'dim': [73, 49, 24]}]","[{'w': 1, 'dim': [50, 41, 20]}, {'w': 5, 'dim': [94, 33, 25]}]",child,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],"[{'w': 58, 'dim': [81, 53, 40]}]",[],child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [28, 21, 23]}, {'w': 6, 'dim': [44, 36, 23]}]","[{'w': 0, 'dim': [88, 62, 29]}, {'w': 10, 'dim': [53, 48, 23]}]","[{'w': 11, 'dim': [76, 77, 28]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],"[{'w': 0, 'dim': [96, 68, 23]}, {'w': 0, 'dim': [75, 62, 43]}]",infant,True,Checked luggage complies with the policy.,350
