travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
First,"[{'w': 0, 'dim': [47, 26, 17]}, {'w': 5, 'dim': [44, 37, 25]}]","[{'w': 21, 'dim': [84, 47, 35]}, {'w': 17, 'dim': [70, 44, 45]}]","[{'w': 30, 'dim': [53, 80, 23]}, {'w': 16, 'dim': [96, 53, 26]}, {'w': 18, 'dim': [94, 60, 45]}, {'w': 7, 'dim': [70, 41, 20]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,"[{'w': 0, 'dim': [28, 20, 28]}]",[],"[{'w': 0, 'dim': [70, 36, 45]}]",child,False,Carry-on bag exceeds size limits.,0
Economy,[],"[{'w': 13, 'dim': [50, 57, 50]}]","[{'w': 18, 'dim': [71, 51, 44]}, {'w': 0, 'dim': [85, 64, 47]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 42, 'dim': [61, 31, 49]}, {'w': 0, 'dim': [78, 58, 34]}]","[{'w': 30, 'dim': [93, 37, 42]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 6, 'dim': [41, 24, 25]}, {'w': 12, 'dim': [41, 30, 12]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 0, 'dim': [85, 48, 49]}]","[{'w': 36, 'dim': [94, 46, 25]}, {'w': 10, 'dim': [81, 69, 26]}]",adult,False,Item with weight 36kg or size 165cm must be shipped as cargo.,175
First,"[{'w': 1, 'dim': [24, 32, 15]}, {'w': 20, 'dim': [43, 33, 15]}]","[{'w': 0, 'dim': [50, 48, 49]}, {'w': 0, 'dim': [50, 50, 46]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 12, 'dim': [36, 29, 16]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [26, 25, 13]}]","[{'w': 0, 'dim': [87, 41, 48]}]","[{'w': 40, 'dim': [72, 30, 34]}]",child,False,Item with weight 40kg or size 136cm must be shipped as cargo.,75
First,"[{'w': 2, 'dim': [31, 24, 30]}]","[{'w': 1, 'dim': [74, 64, 37]}]","[{'w': 20, 'dim': [56, 77, 37]}]",adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 2, 'dim': [43, 33, 25]}]","[{'w': 0, 'dim': [87, 61, 35]}]","[{'w': 25, 'dim': [73, 65, 40]}, {'w': 40, 'dim': [61, 48, 47]}]",child,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 2, 'dim': [30, 40, 11]}]","[{'w': 0, 'dim': [61, 41, 34]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 43, 'dim': [77, 40, 50]}]","[{'w': 18, 'dim': [80, 61, 44]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [24, 36, 30]}]","[{'w': 5, 'dim': [64, 64, 21]}, {'w': 0, 'dim': [84, 61, 22]}]",[],adult,False,Carry-on bag exceeds size limits.,0
Economy,[],"[{'w': 0, 'dim': [66, 59, 22]}]",[],adult,True,Checked luggage complies with the policy.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 13, 'dim': [46, 22, 28]}]","[{'w': 0, 'dim': [68, 48, 36]}]","[{'w': 21, 'dim': [61, 47, 35]}, {'w': 31, 'dim': [95, 67, 49]}, {'w': 0, 'dim': [76, 61, 35]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [39, 33, 26]}, {'w': 10, 'dim': [20, 32, 12]}]","[{'w': 10, 'dim': [86, 58, 27]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,[],[],"[{'w': 47, 'dim': [83, 45, 36]}]",adult,False,Item with weight 47kg or size 164cm must be shipped as cargo.,175
First,[],[],"[{'w': 3, 'dim': [81, 61, 48]}]",adult,True,Checked luggage complies with the policy.,100
First,[],"[{'w': 0, 'dim': [79, 60, 44]}, {'w': 50, 'dim': [58, 45, 48]}]","[{'w': 11, 'dim': [89, 64, 32]}, {'w': 7, 'dim': [100, 49, 49]}]",infant,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 0, 'dim': [78, 59, 45]}, {'w': 0, 'dim': [60, 31, 42]}]",[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [28, 20, 15]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [33, 20, 24]}]","[{'w': 52, 'dim': [80, 41, 26]}, {'w': 16, 'dim': [69, 30, 20]}]","[{'w': 34, 'dim': [66, 73, 29]}, {'w': 0, 'dim': [100, 54, 20]}]",adult,False,Exceeded carry-on weight limit.,0
